class_name,threshold,tp,fp,tn,fn,precision,recall_sensitivity,specificity,fpr,f1,balanced_accuracy,youden_j
Atelectasis,0.13477590780122375,0.0,0.0,22317.0,3279.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0
Atelectasis,0.13477590680122375,0.0,1.0,22316.0,3279.0,0.0,0.0,0.9999551911099162,4.480889008384725e-05,0.0,0.4999775955549581,-4.480889008384725e-05
Atelectasis,0.11027936637401581,0.0,2.0,22315.0,3279.0,0.0,0.0,0.9999103822198324,8.961778016758348e-05,0.0,0.4999551911099162,-8.961778016758348e-05
Atelectasis,0.10338596254587173,0.0,3.0,22314.0,3279.0,0.0,0.0,0.9998655733297486,0.00013442667025143074,0.0,0.4999327866648743,-0.00013442667025143074
Atelectasis,0.07237401604652405,0.0,4.0,22313.0,3279.0,0.0,0.0,0.9998207644396648,0.00017923556033516697,0.0,0.4999103822198324,-0.00017923556033516697
Atelectasis,0.06754669547080994,0.0,5.0,22312.0,3279.0,0.0,0.0,0.999775955549581,0.00022404445041901422,0.0,0.4998879777747905,-0.00022404445041901422
Atelectasis,0.06030764430761337,0.0,6.0,22311.0,3279.0,0.0,0.0,0.9997311466594972,0.00026885334050275045,0.0,0.4998655733297486,-0.00026885334050275045
Atelectasis,0.060086652636528015,0.0,7.0,22310.0,3279.0,0.0,0.0,0.9996863377694134,0.0003136622305865977,0.0,0.4998431688847067,-0.0003136622305865977
Atelectasis,0.05738753825426102,0.0,8.0,22309.0,3279.0,0.0,0.0,0.9996415288793297,0.00035847112067033393,0.0,0.49982076443966483,-0.00035847112067033393
Atelectasis,0.05155818909406662,0.0,9.0,22308.0,3279.0,0.0,0.0,0.9995967199892458,0.0004032800107541812,0.0,0.4997983599946229,-0.0004032800107541812
Atelectasis,0.050611432641744614,1.0,9.0,22308.0,3278.0,0.1,0.0003049710277523635,0.9995967199892458,0.0004032800107541812,0.0006080875646093037,0.4999508455084991,-9.830898300178248e-05
Atelectasis,0.04509957134723663,1.0,10.0,22307.0,3278.0,0.09090909090909091,0.0003049710277523635,0.9995519110991621,0.0004480889008379174,0.0006079027355623101,0.49992844106345724,-0.0001431178730855187
Atelectasis,0.04193052276968956,1.0,11.0,22306.0,3278.0,0.08333333333333333,0.0003049710277523635,0.9995071022090782,0.0004928977909217647,0.0006077180188392586,0.4999060366184153,-0.00018792676316936596
Atelectasis,0.041852131485939026,1.0,12.0,22305.0,3278.0,0.07692307692307693,0.0003049710277523635,0.9994622933189945,0.0005377066810055009,0.0006075334143377886,0.49988363217337345,-0.0002327356532531022
Atelectasis,0.03963883966207504,2.0,12.0,22305.0,3277.0,0.14285714285714285,0.000609942055504727,0.9994622933189945,0.0005377066810055009,0.0012146978439113271,0.5000361176872496,7.223537449929651e-05
