class_name,prob_std,prob_min,prob_max,auroc,pathological,flags
Atelectasis,0.0023547234613904857,1.860985595226322e-13,0.13477590680122375,0.5343564477922521,True,always_negative_at_threshold
Cardiomegaly,0.33029049841704117,6.709224544465542e-05,0.9999767541885376,0.4725423916667998,True,auroc_below_chance
Consolidation,0.0003276617996356347,0.9690324664115906,1.0,0.5001063306899516,True,always_positive_at_threshold
Edema,0.0113432599600465,0.1424703449010849,1.0,0.4697003922977738,True,auroc_below_chance
Effusion,0.010574142213642992,3.37488578190892e-16,0.6130049228668213,0.4820270346920908,True,auroc_below_chance
Emphysema,0.0025301666177330153,2.322294712087114e-08,0.08586245775222778,0.5171969158583528,True,always_negative_at_threshold
Fibrosis,5.1278007971021064e-08,0.0,8.203532161132898e-06,0.4076284817727855,True,always_negative_at_threshold;collapsed_probability_distribution;auroc_below_chance
Hernia,1.4375377447541364e-11,0.0,2.2993831283457666e-09,0.3725506641262432,True,always_negative_at_threshold;collapsed_probability_distribution;auroc_below_chance
Infiltration,0.0005742657622047303,0.9118099808692932,1.0,0.5025129190443279,True,always_positive_at_threshold
Mass,0.004782059683323377,1.6822646609071512e-09,0.0948452427983284,0.4584971481280758,True,always_negative_at_threshold;auroc_below_chance
Nodule,2.445590659038753e-06,0.0,0.00038596606464125216,0.4275942855099952,True,always_negative_at_threshold;collapsed_probability_distribution;auroc_below_chance
Pleural_Thickening,4.697057537578819e-05,8.657078889107298e-25,0.0038996203802525997,0.4315242349501225,True,always_negative_at_threshold;collapsed_probability_distribution;auroc_below_chance
Pneumonia,0.002602748783997732,3.48201612679748e-16,0.1536761373281479,0.4814276478467205,True,always_negative_at_threshold;auroc_below_chance
Pneumothorax,0.00023430556237545418,1.8140579370693605e-14,0.03390795737504959,0.4375580203372169,True,always_negative_at_threshold;auroc_below_chance
