class_name,bin_index,bin_lower,bin_upper,count,mean_predicted_prob,empirical_positive_rate,abs_gap
Atelectasis,0,0.0,0.06666666666666667,25591,0.00042420050852402775,0.1281309835489039,0.12770678304037988
Atelectasis,1,0.06666666666666667,0.13333333333333333,4,0.08839651010930538,0.0,0.08839651010930538
Atelectasis,2,0.13333333333333333,0.2,1,0.13477590680122375,0.0,0.13477590680122375
Atelectasis,3,0.2,0.26666666666666666,0,,,
Atelectasis,4,0.26666666666666666,0.3333333333333333,0,,,
Atelectasis,5,0.3333333333333333,0.4,0,,,
Atelectasis,6,0.4,0.4666666666666667,0,,,
Atelectasis,7,0.4666666666666667,0.5333333333333333,0,,,
Atelectasis,8,0.5333333333333333,0.6,0,,,
Atelectasis,9,0.6,0.6666666666666666,0,,,
Atelectasis,10,0.6666666666666666,0.7333333333333333,0,,,
Atelectasis,11,0.7333333333333333,0.8,0,,,
Atelectasis,12,0.8,0.8666666666666667,0,,,
Atelectasis,13,0.8666666666666667,0.9333333333333333,0,,,
Atelectasis,14,0.9333333333333333,1.0,0,,,
Cardiomegaly,0,0.0,0.06666666666666667,2255,0.02779084834273535,0.040354767184035474,0.012563918841300124
Cardiomegaly,1,0.06666666666666667,0.13333333333333333,1016,0.0973487146506746,0.05019685039370079,0.04715186425697381
Cardiomegaly,2,0.13333333333333333,0.2,823,0.165812218518767,0.046172539489671933,0.11963967902909509
Cardiomegaly,3,0.2,0.26666666666666666,759,0.23348852175340665,0.04216073781291173,0.19132778394049493
Cardiomegaly,4,0.26666666666666666,0.3333333333333333,709,0.30023899010273564,0.04090267983074753,0.2593363102719881
Cardiomegaly,5,0.3333333333333333,0.4,752,0.36782410356434103,0.0398936170212766,0.32793048654306445
Cardiomegaly,6,0.4,0.4666666666666667,763,0.4341818591089111,0.045871559633027525,0.3883102994758836
Cardiomegaly,7,0.4666666666666667,0.5333333333333333,830,0.4998199726443693,0.05421686746987952,0.44560310517448976
Cardiomegaly,8,0.5333333333333333,0.6,952,0.5677272520270669,0.04831932773109244,0.5194079242959744
Cardiomegaly,9,0.6,0.6666666666666666,1045,0.6335142621583345,0.06411483253588517,0.5693994296224494
Cardiomegaly,10,0.6666666666666666,0.7333333333333333,1237,0.7016032151667071,0.047696038803556995,0.6539071763631501
Cardiomegaly,11,0.7333333333333333,0.8,1575,0.7669659102152264,0.035555555555555556,0.7314103546596709
Cardiomegaly,12,0.8,0.8666666666666667,2187,0.8354891682248928,0.04572473708276177,0.789764431142131
Cardiomegaly,13,0.8666666666666667,0.9333333333333333,3386,0.903277011362674,0.03780271707028943,0.8654742942923845
Cardiomegaly,14,0.9333333333333333,1.0,7307,0.9713447940925477,0.03585602846585466,0.935488765626693
Consolidation,0,0.0,0.06666666666666667,0,,,
Consolidation,1,0.06666666666666667,0.13333333333333333,0,,,
Consolidation,2,0.13333333333333333,0.2,0,,,
Consolidation,3,0.2,0.26666666666666666,0,,,
Consolidation,4,0.26666666666666666,0.3333333333333333,0,,,
Consolidation,5,0.3333333333333333,0.4,0,,,
Consolidation,6,0.4,0.4666666666666667,0,,,
Consolidation,7,0.4666666666666667,0.5333333333333333,0,,,
Consolidation,8,0.5333333333333333,0.6,0,,,
Consolidation,9,0.6,0.6666666666666666,0,,,
Consolidation,10,0.6666666666666666,0.7333333333333333,0,,,
Consolidation,11,0.7333333333333333,0.8,0,,,
Consolidation,12,0.8,0.8666666666666667,0,,,
Consolidation,13,0.8666666666666667,0.9333333333333333,0,,,
Consolidation,14,0.9333333333333333,1.0,25596,0.999978915907141,0.07090951711204876,0.9290693987950923
Edema,0,0.0,0.06666666666666667,0,,,
Edema,1,0.06666666666666667,0.13333333333333333,0,,,
Edema,2,0.13333333333333333,0.2,1,0.1424703449010849,0.0,0.1424703449010849
Edema,3,0.2,0.26666666666666666,0,,,
Edema,4,0.26666666666666666,0.3333333333333333,0,,,
Edema,5,0.3333333333333333,0.4,0,,,
Edema,6,0.4,0.4666666666666667,0,,,
Edema,7,0.4666666666666667,0.5333333333333333,0,,,
Edema,8,0.5333333333333333,0.6,1,0.5821347236633301,0.0,0.5821347236633301
Edema,9,0.6,0.6666666666666666,1,0.6183196306228638,0.0,0.6183196306228638
Edema,10,0.6666666666666666,0.7333333333333333,10,0.6966593742370606,0.0,0.6966593742370606
Edema,11,0.7333333333333333,0.8,9,0.7769313454627991,0.2222222222222222,0.5547091232405769
Edema,12,0.8,0.8666666666666667,17,0.8349273695665247,0.0,0.8349273695665247
Edema,13,0.8666666666666667,0.9333333333333333,28,0.9074835564408984,0.10714285714285714,0.8003406992980413
Edema,14,0.9333333333333333,1.0,25529,0.9997811223258749,0.03603744760860198,0.963743674717273
Effusion,0,0.0,0.06666666666666667,25516,0.0010013974393441177,0.18212102210377804,0.18111962466443393
Effusion,1,0.06666666666666667,0.13333333333333333,50,0.09484869778156281,0.16,0.0651513022184372
Effusion,2,0.13333333333333333,0.2,17,0.15942421818480773,0.0,0.15942421818480773
Effusion,3,0.2,0.26666666666666666,6,0.22976554681857428,0.0,0.22976554681857428
Effusion,4,0.26666666666666666,0.3333333333333333,3,0.30152472853660583,0.6666666666666666,0.3651419381300608
Effusion,5,0.3333333333333333,0.4,0,,,
Effusion,6,0.4,0.4666666666666667,3,0.4154848059018453,0.3333333333333333,0.08215147256851196
Effusion,7,0.4666666666666667,0.5333333333333333,0,,,
Effusion,8,0.5333333333333333,0.6,0,,,
Effusion,9,0.6,0.6666666666666666,1,0.6130049228668213,0.0,0.6130049228668213
Effusion,10,0.6666666666666666,0.7333333333333333,0,,,
Effusion,11,0.7333333333333333,0.8,0,,,
Effusion,12,0.8,0.8666666666666667,0,,,
Effusion,13,0.8666666666666667,0.9333333333333333,0,,,
Effusion,14,0.9333333333333333,1.0,0,,,
Emphysema,0,0.0,0.06666666666666667,25594,0.0007877649616624536,0.042705321559740564,0.04191755659807811
